,grey_obj1a.jpg,grey_obj1b.jpg,grey_obj1c.jpg,grey_obj1d.jpg,grey_obj1e.jpg,grey_obj1f.jpg,grey_obj1g.jpg,grey_obj1h.jpg,grey_obj1i.jpg,grey_obj1j.jpg,grey_obj1k.jpg,grey_obj1l.jpg,grey_obj2a.jpg,grey_obj2b.jpg,grey_obj2c.jpg,grey_obj2d.jpg,grey_obj2e.jpg,grey_obj2f.jpg,grey_obj2g.jpg,grey_obj2h.jpg,grey_obj2i.jpg,grey_obj2j.jpg,grey_obj2k.jpg,grey_obj2l.jpg,grey_obj3a.jpg,grey_obj3b.jpg,grey_obj3c.jpg,grey_obj3d.jpg,grey_obj3e.jpg,grey_obj3f.jpg,grey_obj3g.jpg,grey_obj3h.jpg,grey_obj3i.jpg,grey_obj3j.jpg,grey_obj3k.jpg,grey_obj3l.jpg,grey_obj4a.jpg,grey_obj4b.jpg,grey_obj4c.jpg,grey_obj4d.jpg,grey_obj4e.jpg,grey_obj4f.jpg,grey_obj4g.jpg,grey_obj4h.jpg,grey_obj4i.jpg,grey_obj4j.jpg,grey_obj4k.jpg,grey_obj4l.jpg,grey_obj5a.jpg,grey_obj5b.jpg,grey_obj5c.jpg,grey_obj5d.jpg,grey_obj5e.jpg,grey_obj5f.jpg,grey_obj5g.jpg,grey_obj5h.jpg,grey_obj5i.jpg,grey_obj5j.jpg,grey_obj5k.jpg,grey_obj5l.jpg,grey_obj6a.jpg,grey_obj6b.jpg,grey_obj6c.jpg,grey_obj6d.jpg,grey_obj6e.jpg,grey_obj6f.jpg,grey_obj6g.jpg,grey_obj6h.jpg,grey_obj6i.jpg,grey_obj6j.jpg,grey_obj6k.jpg,grey_obj6l.jpg,grey_obj7a.jpg,grey_obj7b.jpg,grey_obj7c.jpg,grey_obj7d.jpg,grey_obj7e.jpg,grey_obj7f.jpg,grey_obj7g.jpg,grey_obj7h.jpg,grey_obj7i.jpg,grey_obj7j.jpg,grey_obj7k.jpg,grey_obj7l.jpg,grey_obj8a.jpg,grey_obj8b.jpg,grey_obj8c.jpg,grey_obj8d.jpg,grey_obj8e.jpg,grey_obj8f.jpg,grey_obj8g.jpg,grey_obj8h.jpg,grey_obj8i.jpg,grey_obj8j.jpg,grey_obj8k.jpg,grey_obj8l.jpg
grey_obj1a.jpg,0.99999976,0.7661138,0.8834111,0.8192243,0.8287461,0.7462427,0.80726063,0.8474743,0.7183742,0.7708845,0.82203346,0.70077163,0.5413844,0.51144207,0.5355321,0.59307075,0.49145353,0.58048344,0.5448947,0.5619496,0.5718558,0.61176157,0.61959404,0.594006,0.58282536,0.66982174,0.5619867,0.60765135,0.55891657,0.53880155,0.7024823,0.5994033,0.55616194,0.54885066,0.6467232,0.58732176,0.5936278,0.5930449,0.60065705,0.58840024,0.58006614,0.55198336,0.6160645,0.58983743,0.60078776,0.5264569,0.5856218,0.54695755,0.57988167,0.6028534,0.52279925,0.53011286,0.5253072,0.5577005,0.50957084,0.5462195,0.53194773,0.6203835,0.5741602,0.49890164,0.5593202,0.55477166,0.5539727,0.5019806,0.5033686,0.53589433,0.5909829,0.55967176,0.57837236,0.55170786,0.5773112,0.55305654,0.64149565,0.6183436,0.65253717,0.6459176,0.6609376,0.6595549,0.5387679,0.5915079,0.53051066,0.68723214,0.60502714,0.6398045,0.5333539,0.5629176,0.5305785,0.53323895,0.5454988,0.57494634,0.49117583,0.5189337,0.59095377,0.5359246,0.58339465,0.54576164
grey_obj1b.jpg,0.7661138,0.99999976,0.7766473,0.8407632,0.7405491,0.74447995,0.74769217,0.8226637,0.76430845,0.74808884,0.8146413,0.7568679,0.53486806,0.5489129,0.5938421,0.6279938,0.47675216,0.6054801,0.57509285,0.5524786,0.58126473,0.60861856,0.62099314,0.5811047,0.62855643,0.62202054,0.56060356,0.6197605,0.5504085,0.54338723,0.64459133,0.5690913,0.5535869,0.56767416,0.623759,0.58079696,0.57071364,0.6559237,0.60462564,0.6394989,0.57839686,0.5976728,0.59660876,0.599022,0.5915552,0.58977616,0.594954,0.59427774,0.611884,0.56642973,0.5691601,0.5487135,0.555592,0.5759353,0.5455564,0.59783554,0.5586239,0.59913945,0.61886185,0.52648795,0.5828974,0.554942,0.5628966,0.6316763,0.53647685,0.52473176,0.55269766,0.56575215,0.6089915,0.59759307,0.60609335,0.5568493,0.5605426,0.6722992,0.58024025,0.6200815,0.5770969,0.60581845,0.5228163,0.54389405,0.6029977,0.6233071,0.63447577,0.62952197,0.6053569,0.59331423,0.5916332,0.61820257,0.60940546,0.63218045,0.56359553,0.60322106,0.6458953,0.58967763,0.65543437,0.5865491
grey_obj1c.jpg,0.8834111,0.7766473,1.0,0.84615743,0.8591289,0.7010287,0.8536685,0.8614075,0.69243896,0.7734432,0.8182531,0.67679983,0.55033904,0.5079403,0.5279447,0.5828692,0.4777343,0.564963,0.51831204,0.5594555,0.56506896,0.61001736,0.6235772,0.560366,0.5828685,0.62957007,0.5536186,0.6150767,0.5772994,0.57144165,0.6826038,0.61697316,0.5497412,0.563377,0.644925,0.5793196,0.585919,0.5890088,0.6087782,0.6265335,0.5763148,0.5672505,0.5850198,0.5948915,0.6040189,0.5563003,0.5569524,0.57641286,0.5845841,0.57883984,0.5252288,0.5480057,0.55073893,0.55511993,0.5101685,0.5731059,0.54223454,0.6198564,0.60168153,0.5023085,0.5508245,0.5598897,0.5571844,0.5532471,0.50138533,0.5309324,0.5833551,0.55022365,0.581887,0.56969565,0.5903127,0.53875375,0.6427887,0.685833,0.6404819,0.66388977,0.64286757,0.63987267,0.5791563,0.6258632,0.5575024,0.6805733,0.6343019,0.67677504,0.5507619,0.57425874,0.5546561,0.5538882,0.5710557,0.5855352,0.50895536,0.5444307,0.6167774,0.55308586,0.59604394,0.53357947
grey_obj1d.jpg,0.8192243,0.8407632,0.84615743,1.0,0.7999574,0.7720265,0.7837608,0.8953727,0.7721196,0.8196329,0.8468531,0.7775196,0.5530629,0.55665165,0.56902647,0.62538993,0.49519172,0.59376156,0.57815045,0.56148696,0.5751442,0.6054866,0.65871406,0.59669214,0.5746563,0.58408034,0.5368685,0.5822986,0.52702165,0.50725514,0.63431585,0.55969346,0.5354796,0.54770863,0.59012365,0.56078154,0.6059958,0.6363811,0.63294995,0.6510262,0.5951747,0.6022475,0.6072842,0.60027456,0.6145597,0.5887422,0.6057476,0.6059183,0.5994603,0.58166385,0.5595515,0.5509464,0.568025,0.56562597,0.54173625,0.60125613,0.5605639,0.61910206,0.6171441,0.5209945,0.55899084,0.566832,0.553385,0.60193497,0.5281432,0.5379602,0.5783169,0.56724143,0.6138034,0.59089607,0.5866273,0.5726925,0.56680226,0.610901,0.5629884,0.62390876,0.57292783,0.56995356,0.5000725,0.5276612,0.55412304,0.6243125,0.55725515,0.5775975,0.60418016,0.63349086,0.6378641,0.6345569,0.64036226,0.63667566,0.5819547,0.626701,0.6886443,0.5945874,0.6703376,0.58235157
grey_obj1e.jpg,0.8287461,0.7405491,0.8591289,0.7999574,1.0000001,0.6403815,0.83822256,0.82429767,0.6924211,0.7498237,0.84124136,0.6367757,0.545998,0.5171756,0.53402984,0.6080769,0.50429106,0.5702101,0.5287918,0.52360076,0.5507407,0.57531106,0.6220149,0.56985277,0.5902331,0.5923367,0.5402056,0.6052343,0.5839845,0.5693125,0.64491785,0.5935125,0.5315871,0.5494164,0.61213356,0.5475696,0.5796712,0.567298,0.60790336,0.5787686,0.5936916,0.60513645,0.5950941,0.5960151,0.6221733,0.5417454,0.5473905,0.5727615,0.5394531,0.56713974,0.5200744,0.5115653,0.5175385,0.5292062,0.4866935,0.54746103,0.5206445,0.57797307,0.5791358,0.4730688,0.53831893,0.56993616,0.56694007,0.50033,0.5030575,0.55666316,0.5818518,0.54529274,0.5441334,0.56469035,0.581547,0.5033918,0.6439197,0.6574125,0.60797036,0.6286634,0.65581936,0.62948626,0.59183896,0.61500245,0.5260169,0.6741674,0.6090546,0.6625892,0.53022254,0.5370217,0.5538084,0.5219855,0.54497874,0.54573673,0.48048478,0.51546293,0.579639,0.53003067,0.5495722,0.5172606
grey_obj1f.jpg,0.7462427,0.74447995,0.7010287,0.7720265,0.6403815,0.9999999,0.66379344,0.7861975,0.8014789,0.7734209,0.7433569,0.79496855,0.5860025,0.64881796,0.64496934,0.67918444,0.55884504,0.6304692,0.6616372,0.6504568,0.6613762,0.6919038,0.677369,0.6345866,0.6386357,0.7145808,0.5759269,0.6004342,0.6047485,0.58806777,0.71178234,0.6266461,0.6169087,0.61146843,0.67682743,0.6553804,0.678891,0.7094164,0.69264454,0.67617756,0.6900368,0.64634305,0.6736049,0.6465466,0.6576636,0.62157935,0.697055,0.6534315,0.6866676,0.6715028,0.60638976,0.61754423,0.57222444,0.6339395,0.58207834,0.6149672,0.61446095,0.70169336,0.65753603,0.5784876,0.6033384,0.6248123,0.6107016,0.5989622,0.5634985,0.6156146,0.6572937,0.5866395,0.6399125,0.6022407,0.6243873,0.63465106,0.59788346,0.64962614,0.63332355,0.6400863,0.6289339,0.6261946,0.5333035,0.56061244,0.6239472,0.6362197,0.6132996,0.6537245,0.66540366,0.6809949,0.71566784,0.7138322,0.71047366,0.72743106,0.6421548,0.69124305,0.71519214,0.67218477,0.75253487,0.6664842
grey_obj1g.jpg,0.80726063,0.74769217,0.8536685,0.7837608,0.83822256,0.66379344,1.0,0.81447995,0.71949595,0.752682,0.7899638,0.6824907,0.5458616,0.54055464,0.5602305,0.60229284,0.5134124,0.57560754,0.5276425,0.5530467,0.57276446,0.6095961,0.59399635,0.5677391,0.65014964,0.6450952,0.60599893,0.6887969,0.631492,0.6235718,0.6992165,0.6349983,0.58312243,0.5974328,0.6474513,0.605821,0.59465814,0.61444604,0.6342408,0.65006167,0.59740335,0.5715768,0.585947,0.60098666,0.6264922,0.5832489,0.5803202,0.5966176,0.567776,0.5760339,0.52776223,0.5485457,0.54018795,0.5568126,0.515466,0.5532179,0.53751004,0.60294116,0.5868486,0.5177805,0.5509432,0.5798394,0.5881607,0.51987696,0.536502,0.5813425,0.6413883,0.54307544,0.6036647,0.56062317,0.6191104,0.5436095,0.7278656,0.78084403,0.6676812,0.713256,0.7132269,0.674918,0.68199205,0.7162823,0.613661,0.7417196,0.7264173,0.7273315,0.57736164,0.56327724,0.57023406,0.5806037,0.574411,0.5879202,0.5376215,0.55298746,0.5804849,0.5849602,0.57990515,0.5629486
grey_obj1h.jpg,0.8474743,0.8226637,0.8614075,0.8953727,0.82429767,0.7861975,0.81447995,0.99999994,0.7688291,0.804706,0.82929564,0.76233095,0.53601015,0.51946294,0.54838324,0.5926701,0.4808886,0.58320963,0.5637252,0.56642663,0.560127,0.59322906,0.62854695,0.5724195,0.6016964,0.61557,0.5639525,0.60421383,0.5736385,0.5474611,0.6551923,0.60508144,0.5605227,0.55584085,0.6201199,0.5721169,0.629221,0.64050376,0.6473861,0.6559081,0.6153232,0.60985726,0.60867256,0.6142644,0.6058983,0.59397185,0.6385122,0.62715685,0.6038535,0.5936506,0.53116,0.5424161,0.54747206,0.54536456,0.5345659,0.57644904,0.5418222,0.6266796,0.60169464,0.4959866,0.5373554,0.5426263,0.53704786,0.5908449,0.51063925,0.53883594,0.57982475,0.5399744,0.5992931,0.56249243,0.6114,0.5365298,0.6105518,0.6566986,0.60422003,0.61869603,0.6197337,0.61309683,0.55004305,0.5745363,0.5874794,0.6609651,0.5910632,0.6393313,0.59814656,0.61152315,0.6160875,0.6107857,0.6255566,0.63009036,0.5601513,0.61182255,0.66846764,0.5919347,0.6664003,0.5744344
grey_obj1i.jpg,0.7183742,0.76430845,0.69243896,0.7721196,0.6924211,0.8014789,0.71949595,0.7688291,0.9999996,0.8486903,0.77120775,0.78084266,0.5271511,0.5538606,0.5874869,0.627957,0.5035112,0.6143027,0.6095686,0.5660988,0.5986812,0.61720777,0.63728637,0.5745093,0.68501186,0.6896999,0.6074992,0.6261387,0.61955714,0.6103004,0.70702255,0.6108769,0.6433157,0.6305009,0.69383276,0.68006104,0.6341185,0.69172883,0.6778075,0.6722215,0.6341177,0.6423116,0.7092519,0.64025265,0.6271563,0.6188567,0.61178285,0.63278663,0.66682285,0.642667,0.6024135,0.6167183,0.56604725,0.634238,0.5556141,0.63775504,0.5726284,0.6683653,0.64558053,0.5793739,0.6085454,0.57677764,0.6128109,0.5915004,0.59121394,0.64602154,0.6740759,0.5954213,0.5777172,0.6166628,0.66232765,0.56432104,0.5709499,0.6391365,0.59831697,0.6213522,0.6138529,0.6121324,0.51918834,0.556012,0.6022908,0.5965483,0.6624083,0.642728,0.6214436,0.62082803,0.6527602,0.636851,0.68315065,0.63630664,0.55815756,0.61544746,0.6853445,0.6156599,0.7619706,0.6369363
grey_obj1j.jpg,0.7708845,0.74808884,0.7734432,0.8196329,0.7498237,0.7734209,0.752682,0.804706,0.8486903,1.0,0.8171354,0.76815224,0.54376966,0.522757,0.55297256,0.6127569,0.47911283,0.5902507,0.59601825,0.58584076,0.598488,0.6336912,0.67934114,0.59143597,0.6067927,0.62804806,0.5375766,0.5671892,0.5475566,0.5168289,0.6717607,0.5620477,0.54940444,0.5885626,0.63651067,0.5787845,0.6290491,0.6574751,0.6657161,0.6807967,0.65961933,0.64145654,0.6950176,0.62500787,0.636125,0.61645395,0.6169878,0.6350308,0.6386218,0.59082913,0.5493543,0.5788432,0.5279998,0.61019146,0.52771676,0.6228083,0.5482738,0.66396743,0.6187993,0.53051263,0.54261243,0.5651211,0.5519127,0.54063904,0.5174551,0.5527941,0.59197646,0.5355315,0.55798423,0.559687,0.6037563,0.51791424,0.56554323,0.5908729,0.6000199,0.5764311,0.5862415,0.57046914,0.49293837,0.5288133,0.56316984,0.58501065,0.5646244,0.5716845,0.6472613,0.64960694,0.66692305,0.63311094,0.725185,0.66504276,0.58766735,0.659037,0.695799,0.63265383,0.7496822,0.6284692
grey_obj1k.jpg,0.82203346,0.8146413,0.8182531,0.8468531,0.84124136,0.7433569,0.7899638,0.82929564,0.77120775,0.8171354,0.9999999,0.72302973,0.59956,0.57528716,0.6104564,0.6830555,0.5335874,0.6534933,0.6065497,0.5965569,0.6260012,0.66174316,0.7097095,0.6337978,0.6508262,0.64741015,0.5599486,0.62847126,0.58196574,0.57047486,0.7132013,0.60374975,0.59391123,0.58899117,0.6693173,0.62719893,0.6143207,0.63960946,0.6556117,0.6368978,0.63032126,0.63047093,0.63556546,0.63783014,0.6431906,0.5989246,0.5883499,0.61862063,0.6508658,0.62394047,0.5796407,0.6084895,0.5893407,0.6295886,0.5732393,0.6240104,0.595463,0.6498983,0.6641998,0.5576327,0.60507286,0.6127649,0.62023264,0.5917671,0.5909981,0.5978877,0.61553043,0.5987344,0.61772287,0.64000475,0.6400677,0.5845431,0.6225717,0.6449794,0.64332235,0.64012486,0.67416614,0.6633121,0.5474482,0.60743785,0.58242524,0.6759369,0.64052,0.6701995,0.6222501,0.6596024,0.6204234,0.63427806,0.6490567,0.6586135,0.5656603,0.6199111,0.67753315,0.6321568,0.68713593,0.6184379
grey_obj1l.jpg,0.70077163,0.7568679,0.67679983,0.7775196,0.6367757,0.79496855,0.6824907,0.76233095,0.78084266,0.76815224,0.72302973,1.0000005,0.5818672,0.5950062,0.6216774,0.62376714,0.5049519,0.6174727,0.6857272,0.6643728,0.6142901,0.6425429,0.6250709,0.5850183,0.6219474,0.65067613,0.62513006,0.618453,0.630771,0.5954063,0.6778264,0.66142637,0.6070536,0.59849226,0.6203911,0.60921633,0.7046648,0.7214039,0.740028,0.69138944,0.63289607,0.6252571,0.6869461,0.63355577,0.6275564,0.6426127,0.6941013,0.67525566,0.64094734,0.60166,0.56161094,0.54428226,0.5515386,0.55574447,0.5539331,0.6240654,0.5837657,0.65386033,0.6170505,0.5207395,0.57596093,0.6246895,0.5942327,0.6423563,0.55521786,0.5827421,0.6350913,0.5491908,0.6598707,0.6109983,0.6753588,0.5907309,0.55758435,0.6467077,0.54687643,0.6143987,0.58633375,0.559458,0.4911492,0.5221124,0.5562988,0.606362,0.551819,0.56787306,0.6410239,0.698559,0.6926363,0.70115405,0.69301695,0.7001919,0.68663204,0.71589345,0.70579976,0.69541156,0.72248495,0.5988777
grey_obj2a.jpg,0.5413844,0.53486806,0.55033904,0.5530629,0.545998,0.5860025,0.5458616,0.53601015,0.5271511,0.54376966,0.59956,0.5818672,1.0,0.69339526,0.69071615,0.7500066,0.7974847,0.6762716,0.6576299,0.8381749,0.8552004,0.8274366,0.76645315,0.73672724,0.5747702,0.5763036,0.53433174,0.5579933,0.58683205,0.58494663,0.6110468,0.62287885,0.5261282,0.58512866,0.63312584,0.54614973,0.5937971,0.637846,0.61714697,0.5914921,0.61839336,0.59830314,0.5510776,0.64796704,0.68017334,0.5977553,0.6057186,0.62666094,0.5904981,0.61137223,0.5768068,0.5422817,0.51052296,0.5930385,0.510614,0.58581805,0.6759723,0.5814179,0.6395554,0.50090474,0.6038903,0.73647624,0.6531318,0.5740546,0.60368484,0.5828136,0.6102887,0.60621405,0.60442626,0.59771866,0.5763849,0.5589009,0.55595845,0.5986477,0.58818305,0.59779453,0.5927061,0.53220075,0.51048553,0.56144214,0.56411934,0.5915018,0.5317811,0.55245906,0.6002077,0.62766445,0.616246,0.6582887,0.6358301,0.6687055,0.62073106,0.63979626,0.555197,0.6432786,0.58439946,0.6123075
grey_obj2b.jpg,0.51144207,0.5489129,0.5079403,0.55665165,0.5171756,0.64881796,0.54055464,0.51946294,0.5538606,0.522757,0.57528716,0.5950062,0.69339526,1.0,0.9011262,0.83000195,0.7817602,0.753856,0.7335759,0.73828304,0.7818178,0.7617761,0.7277214,0.7597433,0.5983755,0.5786207,0.5341737,0.5410557,0.6208405,0.6064509,0.62186784,0.5839673,0.5740469,0.68340576,0.63655543,0.6241935,0.5697485,0.61982244,0.59790504,0.55857253,0.5894255,0.57840985,0.5987694,0.6207638,0.6326246,0.5626609,0.6208304,0.6186632,0.62936044,0.6414572,0.6038201,0.5692159,0.5629387,0.59049875,0.5435364,0.5641991,0.6140232,0.5828307,0.6159556,0.541966,0.65952235,0.6631425,0.6697515,0.5702534,0.65188885,0.6361992,0.64523035,0.64824426,0.5685797,0.66615474,0.620989,0.5516335,0.53904617,0.56976026,0.5705393,0.5783072,0.564933,0.5260873,0.4951831,0.53548986,0.5471513,0.54531866,0.559221,0.539224,0.57334936,0.5937697,0.62222564,0.6410531,0.6052689,0.6203464,0.5986342,0.5784755,0.5323984,0.6512921,0.5381988,0.62607145
grey_obj2c.jpg,0.5355321,0.5938421,0.5279447,0.56902647,0.53402984,0.64496934,0.5602305,0.54838324,0.5874869,0.55297256,0.6104564,0.6216774,0.69071615,0.9011262,0.9999999,0.8391139,0.7124945,0.7892719,0.77401996,0.75610095,0.7709417,0.78631365,0.6974901,0.76843727,0.63055354,0.60117906,0.5423524,0.5759086,0.62753665,0.62180054,0.62997,0.5894698,0.59091425,0.6901933,0.652988,0.64258283,0.55723566,0.6657815,0.6238427,0.58631796,0.6029791,0.59540653,0.61180884,0.63921523,0.64230067,0.5911313,0.6353437,0.63533497,0.64400584,0.6302875,0.60281307,0.6028206,0.564355,0.613794,0.5409276,0.55940783,0.6109799,0.5953658,0.61191964,0.55934477,0.6585971,0.6344975,0.6611617,0.60162026,0.6495779,0.6343989,0.65961516,0.6382949,0.58137196,0.6795979,0.64155316,0.5585323,0.55794626,0.5933252,0.605122,0.5796417,0.5817773,0.56683904,0.4993686,0.55738956,0.5807906,0.55657107,0.58579034,0.568859,0.59291065,0.60016805,0.60321844,0.65909964,0.62056947,0.64203805,0.6242166,0.60631025,0.54434526,0.6815715,0.5627062,0.62442994
grey_obj2d.jpg,0.59307075,0.6279938,0.5828692,0.62538993,0.6080769,0.67918444,0.60229284,0.5926701,0.627957,0.6127569,0.6830555,0.62376714,0.7500066,0.83000195,0.8391139,1.0000001,0.76797295,0.80513954,0.7965851,0.7564525,0.82461506,0.8512267,0.81302774,0.87491655,0.63564783,0.6147828,0.546459,0.5737405,0.62477916,0.64018035,0.6480392,0.60497344,0.6040257,0.6945201,0.67435026,0.6739082,0.59515816,0.6413171,0.6371592,0.57560086,0.6488873,0.5965231,0.6239519,0.6393002,0.6341755,0.5751205,0.60182124,0.6286621,0.6543133,0.64288867,0.6505771,0.6076646,0.5636767,0.6132886,0.5637446,0.59546024,0.6299109,0.60968924,0.64828557,0.5507169,0.6400372,0.64826494,0.64209414,0.5775445,0.6195859,0.6035907,0.626106,0.66960424,0.5889261,0.6348983,0.66216326,0.5512624,0.574422,0.6119177,0.62914675,0.6216277,0.6019182,0.5781062,0.5240648,0.5789655,0.58315754,0.59793526,0.6072209,0.59662175,0.5921347,0.60130394,0.6182226,0.64941704,0.62517774,0.6368248,0.5922736,0.6022043,0.58243173,0.661878,0.59963226,0.6278827
grey_obj2e.jpg,0.49145353,0.47675216,0.4777343,0.49519172,0.50429106,0.55884504,0.5134124,0.4808886,0.5035112,0.47911283,0.5335874,0.5049519,0.7974847,0.7817602,0.7124945,0.76797295,0.99999976,0.7416861,0.5963802,0.75159067,0.8579039,0.7709624,0.7486784,0.7968691,0.5423062,0.5275415,0.4896118,0.5056429,0.55608994,0.572709,0.57448727,0.5418439,0.50693417,0.5780029,0.5848035,0.51475644,0.5426408,0.572021,0.5577174,0.49585408,0.55427486,0.5280973,0.51346254,0.54602873,0.5965502,0.52254796,0.5230805,0.5479479,0.5451828,0.59886926,0.5719533,0.49920616,0.49184188,0.5193442,0.48872578,0.5146851,0.59257984,0.5366392,0.6005707,0.46718186,0.5703274,0.66732067,0.63249665,0.46712267,0.57302934,0.5826704,0.5924482,0.55443954,0.5084178,0.5457629,0.54941034,0.49813485,0.5240264,0.53487676,0.53919214,0.55526257,0.5507397,0.48764637,0.48968893,0.525095,0.53831214,0.53261495,0.50957286,0.51049054,0.49154305,0.52176535,0.53136444,0.55360425,0.52692974,0.530545,0.5006757,0.5065422,0.4817127,0.54787904,0.4911224,0.52162975
grey_obj2f.jpg,0.58048344,0.6054801,0.564963,0.59376156,0.5702101,0.6304692,0.57560754,0.58320963,0.6143027,0.5902507,0.6534933,0.6174727,0.6762716,0.753856,0.7892719,0.80513954,0.7416861,1.0,0.72344995,0.7744665,0.81462854,0.77955985,0.7667778,0.872916,0.61155987,0.59289354,0.5474299,0.59803057,0.6263899,0.6472818,0.6393166,0.6236258,0.61852646,0.65852135,0.6513944,0.6101125,0.56536293,0.600376,0.61189795,0.55530775,0.5845036,0.5670664,0.5842184,0.5916134,0.5938741,0.5527602,0.60152507,0.60275894,0.63365763,0.6169831,0.5976399,0.55571306,0.56737983,0.5530768,0.533429,0.569319,0.6142923,0.61369914,0.61177766,0.5206211,0.6189713,0.6764883,0.66090804,0.58485603,0.65497583,0.65325487,0.658002,0.61876035,0.55233896,0.64769816,0.68230784,0.54328877,0.55113214,0.5904365,0.6106732,0.588153,0.6121754,0.5840529,0.50786906,0.58197314,0.57042515,0.60237944,0.59862715,0.60023403,0.5775449,0.63383263,0.61031103,0.67344326,0.6230509,0.6429225,0.5973314,0.63112235,0.59196806,0.67227155,0.59491396,0.6132763
